idHistory,vehicle_type,vehicle_name,fuel_type,machine_capacity,daily_emission,distance,location,location_address,time_used,time_travel,user_id
cc00105e-6582-4292-92f8-538da28874be,sepeda motor,Vespa Sprint,Shell Super,150,600793,39367,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-10-05 00:00:00,8,
f283e307-0652-4104-acab-746df182cbd1,sepeda motor,Suzuki GSX,Pertamax Turbo,100,1831613,33247,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-01-01 00:00:00,114,
db347b07-b993-41ef-a068-88c35d740728,mobil,Honda Brio,Shell Super,250,4921724,34676,Pakuwon Mall,"Jalan Mayjend. Jonosewojo, Babatan, Surabaya, East Java, Indonesia",2023-07-01 00:00:00,103,
a813a719-773d-4b99-85cc-b6219fffe0c5,sepeda motor,Honda Beat,Pertamax Turbo,100,2308932,13462,Universitas Negeri Malang,"Jalan Cakrawala, Sumbersari, Malang City, East Java, Indonesia",2023-07-03 00:00:00,58,
00851db1-7752-4e3e-af64-6f2b13499d9e,sepeda motor,Vespa Sprint,Diesel,1500,2963388,46249,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-12-07 00:00:00,64,
f958021c-00b7-49ca-8e00-dd318fa1a957,mobil,Mitsubishi Pajero,Pertamax Turbo,200,4128072,39105,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-03-03 00:00:00,161,
29977a36-488b-4457-b068-e86a3863c90e,sepeda motor,Yamaha NMAX,Pertalite,250,3848718,1819,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-05-18 00:00:00,99,
ae094f04-855d-483b-bc92-edcba0d6fb2e,sepeda motor,Yamaha NMAX,Shell Super,1800,2040445,14256,Puskesmas Sumber Pucung,"Jalan TGP, Dusun Pakel, Sumberpucung, Malang Regency, East Java, Indonesia",2023-04-20 00:00:00,13,
e36fcc59-fbc7-471c-9420-7baeadbd6d2f,sepeda motor,Suzuki GSX,Pertamax,1800,249778,17985,SDN 1 Martapura OKU Timur,"Jalan Merdeka, Baru City, East Ogan Komering Ulu Regency, South Sumatra, Indonesia",2023-12-13 00:00:00,32,
a00634ee-2000-4b6e-9f88-b9b0211101c6,sepeda motor,Vespa Sprint,Shell Super,1200,3455447,46045,sabila snack,"Jalan Randupitu-Gunung Gangsir, Pagar Gunung, Randupitu, Pasuruan Regency, East Java, Indonesia",2023-12-01 00:00:00,63,
84f3ed7e-80e8-4bd7-ac63-464925334c83,sepeda motor,Yamaha NMAX,Shell Super,2000,4143803,8214,National Taiwan University of Science and Technology,"Section 4, Keelung Road, Da’an District, Taipei City, Taiwan",2023-04-12 00:00:00,178,
aa51723b-cb70-4a55-b892-86a4a547524b,sepeda motor,Yamaha NMAX,Shell Super,150,2845344,27165,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-08-27 00:00:00,106,
aefa259c-3abb-473a-9c92-3bee5533eafa,sepeda motor,Kawasaki Ninja,Diesel,1800,4777064,43614,TK Negeri Pembina,"Jalan Sumedang, Cokoleo, Kepanjen, Malang Regency, East Java, Indonesia",2023-02-27 00:00:00,72,
2bb05d8f-47c6-4807-a5c7-6cd0f2ea77b6,sepeda motor,Kawasaki Ninja,Pertalite,200,4514079,22976,Gubeng,"Surabaya, East Java, Indonesia",2023-08-12 00:00:00,172,
e0aacf70-ad3e-48d0-bc19-939b04e61775,sepeda motor,Honda Beat,Pertalite,125,3089645,40921,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-02-16 00:00:00,174,
3da1462d-34ca-44db-aea1-e830089e6849,sepeda motor,Honda Beat,Shell Super,200,1673300,30220,Universitas Yudharta,"Jl. Yudharta, Kembangkuning, Sengonagun, Pasuruan Regency, East Java, Indonesia",2023-09-12 00:00:00,129,
35f987c8-8d7d-4437-9a38-088d5c174a93,mobil,Toyota Avanza,Shell Super,1500,2191447,24162,Bebek Kerto Jalibar Kepanjen,"Jalan Raya Pepen, RT.02/RW.01, Pepen, Mojosari, Malang Regency, East Java, Indonesia",2023-08-16 00:00:00,37,
e4d4b3b3-3ae3-46eb-9f82-abcc5a37ca7e,sepeda motor,Honda Beat,Pertamax,1000,2314292,23899,UPN Veteran Jatim,"Jalan Rungkut Madya, Gunung Anyar, Surabaya, Jawa Timur, Indonesia",2023-03-22 00:00:00,147,
e09fa78a-e22b-4e96-bc75-efebeaef3db1,mobil,Mitsubishi Pajero,Diesel,1800,3721127,30353,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-02-17 00:00:00,14,
fc36d647-f7d6-4482-9795-a6f81bd6ee28,sepeda motor,Suzuki GSX,Pertamax,1800,4465564,19133,Pakuwon Trade Center,"Jl. Raya Lontar, Babatan, Surabaya, East Java, Indonesia",2023-02-05 00:00:00,24,
1c97dc19-589e-4604-bc40-bd8e7a8317f7,mobil,Mitsubishi Pajero,Shell Super,1800,1051477,47727,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-08-11 00:00:00,141,
432ec4ed-8fc3-4cfb-95fd-850f8e59ce15,sepeda motor,Kawasaki Ninja,Pertalite,1200,2870074,41535,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-12-27 00:00:00,170,
df492b0a-ac7b-43ca-8bea-03cb23f6ed27,sepeda motor,Honda Beat,Shell Super,1800,4800769,818,TK Negeri Pembina,"Jalan Sumedang, Cokoleo, Kepanjen, Malang Regency, East Java, Indonesia",2023-01-06 00:00:00,49,
eeece92b-2199-44aa-a48c-2051ad36cd50,mobil,Daihatsu Xenia,Diesel,200,889478,43525,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-11-19 00:00:00,141,
711ac4f3-e4ba-4ee9-a5e8-847c57c2c017,sepeda motor,Yamaha NMAX,Pertamax,1200,1887097,48982,Kuningan City mall,"Jalan Professor Doktor Satrio, Kuningan, Karet Kuningan, South Jakarta City, Jakarta, Indonesia",2023-05-31 00:00:00,184,
4c029801-bcc9-4d15-83f0-3793aa69eaa0,sepeda motor,Honda Beat,Pertamax,1500,461555,45546,Universitas Negeri Malang,"Jalan Cakrawala, Sumbersari, Malang City, East Java, Indonesia",2023-11-22 00:00:00,81,
cab8c036-a091-4552-b593-b7b917ab9361,sepeda motor,Honda Beat,Pertamax,1200,1122443,39691,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-06-16 00:00:00,45,
37a001c8-284b-4683-9f1a-8e22a9db4633,sepeda motor,Yamaha NMAX,Shell Super,125,1629769,42508,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-03-24 00:00:00,108,
d5ac971f-dcca-4d7d-9d99-3d8e979786dd,sepeda motor,Vespa Sprint,Pertamax,1000,2016016,22532,UPN Veteran Jatim,"Jalan Rungkut Madya, Gunung Anyar, Surabaya, Jawa Timur, Indonesia",2023-06-28 00:00:00,80,
590e0851-4be7-4489-92fb-825217bb2922,mobil,Daihatsu Xenia,Diesel,1800,1705183,4025,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-04-24 00:00:00,52,
1d5ecc0f-849c-4d3c-aebb-c336767b251a,mobil,Suzuki Ertiga,Pertalite,1500,1188638,35813,Universitas Yudharta Pasuruan,"Jl. Yudharta, Kembangkuning, Sengonagun, Pasuruan Regency, East Java, Indonesia",2023-09-28 00:00:00,14,
38409ba8-f3b6-4034-ba47-386f5177bf78,mobil,Honda Brio,Diesel,100,3650458,495,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-10-15 00:00:00,73,
286007e7-08e0-47da-94ae-9b6a939fcb41,mobil,Mitsubishi Pajero,Shell Super,200,1002402,10956,Universitas Negeri Malang,"Jalan Cakrawala, Sumbersari, Malang City, East Java, Indonesia",2023-07-04 00:00:00,8,
0b46a833-3092-40d6-be0d-57fdc8c1f382,sepeda motor,Yamaha NMAX,Pertamax Turbo,1200,3769650,15536,UPN Veteran Jatim,"Jalan Rungkut Madya, Gunung Anyar, Surabaya, Jawa Timur, Indonesia",2023-12-21 00:00:00,79,
c4817179-1cd4-44fc-84ef-e41bb4b2c982,mobil,Honda Brio,Diesel,150,1325460,16823,Bebek Kerto Jalibar Kepanjen,"Jalan Raya Pepen, RT.02/RW.01, Pepen, Mojosari, Malang Regency, East Java, Indonesia",2023-07-09 00:00:00,175,
903b9978-eb37-4116-b27c-8eae90f43b6b,mobil,Mitsubishi Pajero,Pertalite,1000,4624415,23060,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-09-23 00:00:00,24,
ba02999c-e7ad-4cb9-8129-c22e5e73d1c2,mobil,Honda Brio,Shell Super,125,4545194,40483,SDN 1 Martapura OKU Timur,"Jalan Merdeka, Baru City, East Ogan Komering Ulu Regency, South Sumatra, Indonesia",2023-02-05 00:00:00,155,
aac1af7a-2f0d-4f4a-a6af-46c3c104eb53,mobil,Toyota Avanza,Pertamax,125,3258025,36505,sabila snack,"Jalan Randupitu-Gunung Gangsir, Pagar Gunung, Randupitu, Pasuruan Regency, East Java, Indonesia",2023-07-09 00:00:00,175,
ac7f0247-d55a-41a0-bea6-0868b3a1aeb9,mobil,Honda Brio,Pertalite,200,1898755,9628,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-11-02 00:00:00,197,
236737ed-08ab-4325-9ce4-a04fe9ec93f9,mobil,Toyota Avanza,Pertamax,150,2413187,15762,TK Negeri Pembina,"Jalan Sumedang, Cokoleo, Kepanjen, Malang Regency, East Java, Indonesia",2023-05-25 00:00:00,76,
4ddbede8-f70b-42f5-b10f-ef2a95abbe22,sepeda motor,Honda Beat,Pertalite,1200,1334804,27933,sabila snack,"Jalan Randupitu-Gunung Gangsir, Pagar Gunung, Randupitu, Pasuruan Regency, East Java, Indonesia",2023-10-18 00:00:00,66,
043db2e9-73b6-4041-916f-6f255831f2df,mobil,Daihatsu Xenia,Pertamax,200,307833,18706,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-07-02 00:00:00,84,
f864bd6b-e522-489f-a26c-88cf5a781984,sepeda motor,Vespa Sprint,Shell Super,125,2434551,21757,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-05-22 00:00:00,113,
4d3b5ec2-d8c7-4598-a498-db130ff822a0,mobil,Suzuki Ertiga,Pertamax Turbo,125,2254004,47594,Pakuwon Mall,"Jalan Mayjend. Jonosewojo, Babatan, Surabaya, East Java, Indonesia",2023-08-14 00:00:00,162,
b48e7810-4bc8-426a-9677-83e843f0b561,mobil,Daihatsu Xenia,Pertalite,1800,972158,4696,Kuningan City mall,"Jalan Professor Doktor Satrio, Kuningan, Karet Kuningan, South Jakarta City, Jakarta, Indonesia",2023-12-25 00:00:00,101,
438e6cb0-0fc8-4e6e-b7ba-5e7bff16c2be,mobil,Daihatsu Xenia,Pertamax,250,1280522,30897,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-11-13 00:00:00,183,
80cf220b-417a-4945-9911-6f06b19905f5,mobil,Daihatsu Xenia,Pertamax,1800,2821763,4149,Universitas Yudharta,"Jl. Yudharta, Kembangkuning, Sengonagun, Pasuruan Regency, East Java, Indonesia",2023-11-12 00:00:00,85,
aeff855d-705f-49bc-8e47-e0613b927cc3,mobil,Honda Brio,Pertamax Turbo,150,4565754,25660,Pakuwon Mall,"Jalan Mayjend. Jonosewojo, Babatan, Surabaya, East Java, Indonesia",2023-05-23 00:00:00,43,
2a8f4c05-f1a5-4222-81cd-0423c00c6e3b,mobil,Toyota Avanza,Diesel,200,3831931,20905,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-10-05 00:00:00,194,
035516b0-16d7-4d46-a81c-d4c892a1356d,mobil,Honda Brio,Pertamax Turbo,2000,610753,19808,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-05-15 00:00:00,55,
9625f5eb-a075-42f9-98da-6506c19d9b77,sepeda motor,Vespa Sprint,Pertalite,1500,612767,6885,sabila snack,"Jalan Randupitu-Gunung Gangsir, Pagar Gunung, Randupitu, Pasuruan Regency, East Java, Indonesia",2023-04-14 00:00:00,126,
ce3a7a86-2656-4f8d-ae5c-2ff7df0c9b36,sepeda motor,Suzuki GSX,Pertamax Turbo,1800,2213784,8651,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-05-30 00:00:00,82,
f0ee9f9d-5d20-4696-81b0-838bdbe74e7d,sepeda motor,Vespa Sprint,Pertamax Turbo,1800,362412,13303,Universitas Yudharta Pasuruan,"Jl. Yudharta, Kembangkuning, Sengonagun, Pasuruan Regency, East Java, Indonesia",2023-03-21 00:00:00,170,
4c68f326-cda4-4fcf-956c-03fb76dd739e,mobil,Honda Brio,Pertamax Turbo,1500,3881679,9988,UPN Veteran Jatim,"Jalan Rungkut Madya, Gunung Anyar, Surabaya, Jawa Timur, Indonesia",2023-12-13 00:00:00,164,
e6f7bdb0-2251-46fc-bd59-cf54c8b88cef,mobil,Suzuki Ertiga,Pertamax Turbo,200,4452149,46075,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-10-19 00:00:00,63,
6bceb8d5-7711-4789-8325-fdf4a7e23248,sepeda motor,Honda Beat,Pertalite,1000,4606522,7938,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-06-14 00:00:00,94,
a088911a-d0a1-4ff7-87c0-ba41a667283c,sepeda motor,Suzuki GSX,Pertamax Turbo,150,3648582,28508,UPN Veteran Jatim,"Jalan Rungkut Madya, Gunung Anyar, Surabaya, Jawa Timur, Indonesia",2023-07-09 00:00:00,155,
5f06fb46-4a3d-40c4-95ab-ee34730f7a21,mobil,Honda Brio,Diesel,2000,1948999,32302,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-06-24 00:00:00,140,
356bf754-19ae-4503-8943-f80919b910a7,mobil,Suzuki Ertiga,Pertamax Turbo,1200,3615599,6571,Universitas Negeri Malang,"Jalan Cakrawala, Sumbersari, Malang City, East Java, Indonesia",2023-11-15 00:00:00,175,
94b7196d-6266-45ad-ac98-62c338e12c3d,mobil,Honda Brio,Diesel,1500,1847512,35185,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-05-23 00:00:00,26,
3495cee5-2c52-4940-b02e-3af569ad556d,mobil,Toyota Avanza,Pertamax,125,1973778,24702,Universitas Yudharta Pasuruan,"Jl. Yudharta, Kembangkuning, Sengonagun, Pasuruan Regency, East Java, Indonesia",2023-12-09 00:00:00,129,
0cc8f289-091b-49cd-a2ee-63a4f2a9f963,mobil,Daihatsu Xenia,Pertamax,1000,335380,8755,UPN Veteran Jatim,"Jalan Rungkut Madya, Gunung Anyar, Surabaya, Jawa Timur, Indonesia",2023-04-02 00:00:00,96,
5534c55d-2d0d-49a2-adfc-e60a4b682e7b,sepeda motor,Vespa Sprint,Shell Super,1200,2534385,20612,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-09-18 00:00:00,180,
4b564b8c-eafa-4068-87b5-7ef660dae58a,mobil,Mitsubishi Pajero,Diesel,250,1016776,43595,UPN Veteran Jatim,"Jalan Rungkut Madya, Gunung Anyar, Surabaya, Jawa Timur, Indonesia",2023-11-11 00:00:00,184,
1938723d-bb7c-4986-88e6-425978577485,mobil,Toyota Avanza,Pertamax,1500,786184,44361,MULYO fotocopy,"Desa, RT.01/RW.08, Pagar Gunung, Randupitu, Pasuruan Regency, East Java, Indonesia",2023-08-11 00:00:00,146,
6092a7c0-424d-4a3e-9be6-97ceef9205c9,sepeda motor,Suzuki GSX,Shell Super,1800,4164775,14154,Dicoding Academy,"Jalan Batik Kumeli, Sukaluyu, Bandung City, West Java, Indonesia",2023-11-26 00:00:00,118,
77b21785-26eb-4e82-bd48-ae2a378fd4e0,mobil,Honda Brio,Pertamax,1500,809889,18541,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-10-07 00:00:00,151,
8752da92-72cc-4a93-b2ac-c8348c9d9c17,sepeda motor,Kawasaki Ninja,Pertamax Turbo,150,2545554,46345,Universitas Yudharta,"Jl. Yudharta, Kembangkuning, Sengonagun, Pasuruan Regency, East Java, Indonesia",2023-02-09 00:00:00,111,
a32a5c48-b3af-4893-b7af-1a3d8f1f702a,sepeda motor,Honda Beat,Diesel,200,1780352,9606,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-08-02 00:00:00,112,
0c2cfce6-26e6-4d66-ba0a-f356c2b55190,mobil,Mitsubishi Pajero,Pertamax Turbo,250,4365603,23719,"UPN ""Veteran"" Jawa Timur","Jalan Rungkut Madya, Gunung Anyar, Surabaya, East Java, Indonesia",2023-04-30 00:00:00,143,
af9089ba-56ff-4870-aa2f-45eb4d58f230,mobil,Honda Brio,Shell Super,100,3524318,25849,UPN Veteran Jatim,"Jalan Rungkut Madya, Gunung Anyar, Surabaya, Jawa Timur, Indonesia",2023-03-16 00:00:00,27,
cfa92828-0697-4e41-9e89-b61e3324721d,sepeda motor,Kawasaki Ninja,Shell Super,1800,484851,21644,Cv. Berkah Semi Mandiri,"Tempel, Kambingan, Gresik Regency, East Java, Indonesia",2023-10-08 00:00:00,75,
5bad5348-8b7f-4d14-80f4-95059bc23448,mobil,Mitsubishi Pajero,Diesel,250,562436,32707,Terminal Arjosari Malang,"Jalan Raden Intan, Arjosari, Malang City, East Java, Indonesia",2023-09-03 00:00:00,160,
59a5bc64-5305-4f56-b0d6-d9a439bec7d8,sepeda motor,Kawasaki Ninja,Pertamax Turbo,1000,393981,19692,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-06-02 00:00:00,22,
c3d75d1e-13f2-4f32-a5e6-303ea31030dc,sepeda motor,Yamaha NMAX,Shell Super,1800,1668833,46190,Universitas Negeri Malang,"Jalan Cakrawala, Sumbersari, Malang City, East Java, Indonesia",2023-12-01 00:00:00,92,
33aa748b-2616-412a-97ea-cc1a1253c117,mobil,Daihatsu Xenia,Diesel,1000,1714514,9715,Warkop Pak Min,"Turus, Ternyang, Malang Regency, East Java, Indonesia",2023-05-25 00:00:00,161,
9ccd8afc-b35b-4416-aa94-33fb87f92984,sepeda motor,Vespa Sprint,Diesel,125,511534,34795,Pakuwon Mall,"Jalan Mayjend. Jonosewojo, Babatan, Surabaya, East Java, Indonesia",2023-06-17 00:00:00,65,
2d6bf731-eb7c-4606-b416-6e7894f70f61,mobil,Suzuki Ertiga,Diesel,150,3463702,796,Stasiun Martapura,"Baru City, East Ogan Komering Ulu Regency, South Sumatra, Indonesia",2023-07-01 00:00:00,87,
09d14d7b-1439-4eff-b55b-55686e743edc,mobil,Daihatsu Xenia,Diesel,100,4931852,13187,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-05-16 00:00:00,179,
67a0f169-5dc6-4727-b58a-65fbb4c4ab23,mobil,Suzuki Ertiga,Pertamax,150,4712660,37830,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-03-25 00:00:00,109,
71a0ad5e-e925-42b0-8662-4360f1a96118,mobil,Suzuki Ertiga,Pertamax,100,205794,47415,TK Negeri Pembina,"Jalan Sumedang, Cokoleo, Kepanjen, Malang Regency, East Java, Indonesia",2023-04-02 00:00:00,174,
8a9ab54f-0145-4aab-bc85-cddd3d024417,mobil,Mitsubishi Pajero,Diesel,150,3048616,39913,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-01-06 00:00:00,1,
8668da4a-3aab-4676-961d-4735c4b34b40,mobil,Toyota Avanza,Diesel,150,812127,16894,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-04-24 00:00:00,164,
9927a71c-ee9f-4e85-ab24-45bbd6ed1570,mobil,Daihatsu Xenia,Pertalite,200,4813047,20423,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-01-28 00:00:00,47,
007d899b-3791-422c-b5a0-cdbc86b0b14e,sepeda motor,Vespa Sprint,Pertamax Turbo,150,4638597,17004,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-12-26 00:00:00,178,
e33cadfc-480e-441b-b184-95d22f58512a,sepeda motor,Vespa Sprint,Pertamax,100,3532317,25769,sabila snack,"Jalan Randupitu-Gunung Gangsir, Pagar Gunung, Randupitu, Pasuruan Regency, East Java, Indonesia",2023-03-15 00:00:00,53,
19357026-95ac-4448-b742-3f45e3de3962,sepeda motor,Kawasaki Ninja,Shell Super,150,4386891,7299,TK Negeri Pembina,"Jalan Sumedang, Cokoleo, Kepanjen, Malang Regency, East Java, Indonesia",2023-03-17 00:00:00,136,
e17360fc-6ec7-4165-b419-891dc5d05fbd,mobil,Daihatsu Xenia,Shell Super,125,3679801,41394,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-09-24 00:00:00,133,
fd6e01f1-1afe-4b7e-ba3b-0f55e36a5f73,mobil,Suzuki Ertiga,Diesel,125,4991191,39275,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-06-18 00:00:00,111,
9d7ed3f0-d5a3-4a40-9893-6821222fb2e4,sepeda motor,Honda Beat,Shell Super,150,3824691,31478,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-04-08 00:00:00,144,
431f9c5c-1d47-4e23-840b-e73dc9ea2f74,mobil,Daihatsu Xenia,Diesel,1000,435742,24615,Universitas Negeri Malang,"Jalan Cakrawala, Sumbersari, Malang City, East Java, Indonesia",2023-03-05 00:00:00,183,
7aedc3fe-0f70-40d3-8d87-9821156d576d,sepeda motor,Vespa Sprint,Pertamax Turbo,150,4395941,27601,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-12-28 00:00:00,135,
b13792cf-434e-4a33-8740-36fca6601646,sepeda motor,Kawasaki Ninja,Diesel,100,1130201,30131,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-06-15 00:00:00,178,
003603f5-9280-4193-98ac-fc846250323e,sepeda motor,Honda Beat,Pertamax Turbo,1500,1617504,28595,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-08-13 00:00:00,116,
7717ab0f-515f-4800-8e9b-c7a2cea95ab5,sepeda motor,Yamaha NMAX,Diesel,2000,1392078,33091,"UPN ""Veteran"" Jawa Timur","Jalan Rungkut Madya, Gunung Anyar, Surabaya, East Java, Indonesia",2023-08-07 00:00:00,191,
3f644231-47e8-4d29-9ce3-99a73239242e,mobil,Mitsubishi Pajero,Pertamax,100,4219739,34000,Gubeng,"Surabaya, East Java, Indonesia",2023-11-22 00:00:00,180,
1af108bf-6df2-4c33-9c92-5e505d559f3d,sepeda motor,Yamaha NMAX,Pertamax,1000,1998818,31733,TK Negeri Pembina,"Jalan Sumedang, Cokoleo, Kepanjen, Malang Regency, East Java, Indonesia",2023-02-08 00:00:00,2,
52e03d55-a9ae-468e-ad28-d0b77b3cc7b7,sepeda motor,Kawasaki Ninja,Pertamax,200,1318155,4397,sabila snack,"Jalan Randupitu-Gunung Gangsir, Pagar Gunung, Randupitu, Pasuruan Regency, East Java, Indonesia",2023-07-13 00:00:00,199,
e8cecf5f-4bb2-4aa4-8d24-bbaed05ae237,sepeda motor,Kawasaki Ninja,Pertamax Turbo,150,2017121,35481,sabila snack,"Jalan Randupitu-Gunung Gangsir, Pagar Gunung, Randupitu, Pasuruan Regency, East Java, Indonesia",2023-01-13 00:00:00,112,
